Java, Stream, TornadoVM
159982097,124680266,73720246
141713564,20825866,1114089
139534818,15837359,931159
139525762,14001166,822758
139558059,14028314,731961
139477096,14203255,772326
140181511,14117932,978742
139315350,14514373,840094
140657285,14464836,792762
139763766,14426019,748367
139231881,16769593,690935
139252253,14520293,694241
139246080,14745056,685195
139452971,13990717,687375
139711173,14058510,682513
140026607,14063530,1476999
139494517,13998142,778993
139134721,13978100,694577
139211592,13993367,687557
139422070,14200331,654840
140160283,14249470,659306
139334511,14145909,742712
140251904,14151259,716873
139326665,14147623,688326
139230560,14174758,646968
139134150,14165161,632322
139139596,14153478,672278
140003519,14088212,662161
139329189,15037377,649633
139905225,14040380,637719
139916794,14260847,639243
140173246,15038067,669831
146737229,14160570,630125
145608112,13994676,627365
146874198,14045135,625030
147146311,14128785,642576
141780024,14034013,667404
139545703,14170502,1057066
144890227,14079733,640069
139376771,14030358,615721
141724238,14005386,823361
142028837,14151913,693359
139167363,14268655,640474
139428819,14088805,646454
139430382,14029392,637447
139159382,14009443,719913
139164692,13975169,608482
142881970,14955419,599959
139987646,14173516,586352
139387868,14140151,660464
139190354,14135323,619762
140219846,14158304,604511
139992680,14400290,607060
139194584,14503152,582574
140001812,14347144,587533
144514565,14255103,579178
139138426,14300572,579921
139155716,14104776,582825
139643134,14364528,590374
139474360,14269730,615354
142903577,14086687,593598
140242948,14226282,621285
139216892,14613644,643694
143031901,14086688,681454
140918672,13990697,599974
140963419,14062015,627580
144455961,14967329,575893
141292916,13962686,578801
139362557,14087505,581605
139361878,14062723,587186
145273292,14043965,627928
139686712,14015296,590396
142308381,13961455,573439
139432484,13999445,596195
139453369,14017364,591119
139365971,13986252,588160
139294475,14072733,566832
139698454,14966730,570797
139625094,14162875,594331
148431860,14398445,582764
148000215,14033007,573269
148548439,14047499,573061
146395459,14044554,591917
148347662,14015322,671369
141908265,15239274,651035
142907884,14286051,661236
140802722,14529151,592946
142235347,14258569,1537959
141395056,14045746,639598
140779531,14017140,545767
139439004,14003035,543324
139784068,13988287,551463
139459019,13982952,559123
139812171,14044377,552996
139619686,13994809,602815
139265445,14111961,602585
140447826,14351779,620244
143029805,14031183,549864
139872447,14000178,547682
139361893,14015804,713973
139798135,14024096,652690
