Java, Stream, TornadoVM
27955625,50145608,77484652
25080137,6216255,1413258
2797397,5671721,1319778
2755210,4234734,1926099
2505732,3157251,1614799
2431308,3338798,1230647
2592166,2500188,2085771
2599447,2397650,1884702
2647913,2063605,1894383
2569655,1414447,1793642
2424240,537141,2069111
2544873,583505,2018283
2543388,538552,1473099
2569991,523128,1631769
2525124,550736,1665713
2646317,399229,1578861
2588931,421905,1035927
2494797,410937,1025689
2436423,543864,1538953
2514848,421952,1395038
2472463,412887,1831092
2430361,464979,1731533
2455417,525912,1743610
2476290,431207,1502417
2483603,388578,1640514
2647168,372472,1513673
2518192,379212,1624340
2424387,381204,1467323
2425114,378765,919950
2391802,380663,1697983
2382181,379064,1210641
2590882,541766,996680
2425751,611716,1452955
2455686,569743,1502349
2644044,594869,1265238
2650178,463890,956408
2480236,561997,1584833
2509951,432851,1021283
2434753,441158,1512747
2484494,435663,1502035
2600240,572999,1704558
2623346,429501,1727877
2704713,548658,2162070
2703109,679626,1631101
2701677,566990,1571697
2638416,429243,954820
2474832,426624,1405444
2448562,1860228,997241
2426361,630190,1428751
2429252,602737,1615158
2484615,504251,1218583
2439829,597733,1679890
2476736,528355,1950493
2427085,717375,1691185
2423069,496625,1526885
2597117,632148,895242
2550457,592148,804812
2428451,579314,1297565
2455999,477396,1529846
2375877,603720,1373597
2586836,488295,1524126
2502267,600401,1054504
2429430,469131,1530771
2376879,589484,1090714
2557877,617804,1026726
2430708,470143,922095
2382189,607679,1507695
2376048,566416,880053
2385340,479361,1373051
2388904,501449,1009177
2581536,473221,1016380
2554833,476287,1604121
2387656,592208,1493335
2400194,699846,1486814
2593515,484648,897388
2597886,559876,1007698
2541664,469366,1561642
2421206,571613,993784
2594678,534948,1435675
2550399,463188,923999
2465039,461355,1573373
2457564,540046,802376
2624356,493013,1514472
2474183,594422,1590660
2533650,560497,1284258
2423571,464720,1528556
2423466,472866,1477435
2426602,465952,1102249
2423718,475545,980735
2545438,592972,1348373
2656612,479765,1471353
2588185,472174,859680
2425416,465047,1411727
2423496,479985,1093851
2422380,454214,1368759
2417525,507408,828235
2403887,482962,910781
2419416,576671,830421
2373032,465336,887859
2384713,457848,835733
2377543,481510,1397734
